type,id,date_showtime,short_title,score,announce_date,title,popularity,general_admission,listing_count,average_price,lowest_price,highest_price,median_price,state,postal_code,venue_name,venue_score,address,country,has_upcoming_venue_events,num_upcoming_events,city,venue_slug,extended_address,venue_id,capacity,display_location,sports_id,sports_short_name,sports_disp_name,sports_disp_type,division_level,sports_slug,performer_type,performer_name,has_upcoming_performances,primary,performer_score,performer_slug,home_venue_id,short_name,upcoming_events_performer,home_team,away_team,alternative,blues,classic-rock,classical,country_music,electronic,folk,hard-rock,hip-hop,indie,jazz,latin,pop,punk,rap,reggae,rnb,rock,soul,techno,event_showtime,is_a_sport,future_event_TBD,missing_price,latitude,longitude
concert,6034984,45196,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.264,45069,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.676,0,1,38,38,38,38,CA,90015,The Belasco - Los Angeles,0.6,1050 South Hill Street,US,TRUE,49,Los Angeles,the-belasco-los-angeles,"Los Angeles, CA 90015",30920,1000,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Escape The Fate,TRUE,1,0.52,escape-the-fate,0,Escape The Fate,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,18:00:00,0,0,0,34.04,-118.259
concert,6034984,45196,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.264,45069,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.676,0,1,38,38,38,38,CA,90015,The Belasco - Los Angeles,0.6,1050 South Hill Street,US,TRUE,49,Los Angeles,the-belasco-los-angeles,"Los Angeles, CA 90015",30920,1000,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Point North,TRUE,0,0.46,point-north,0,Point North,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,18:00:00,0,0,0,34.04,-118.259
concert,6034984,45196,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.264,45069,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.676,0,1,38,38,38,38,CA,90015,The Belasco - Los Angeles,0.6,1050 South Hill Street,US,TRUE,49,Los Angeles,the-belasco-los-angeles,"Los Angeles, CA 90015",30920,1000,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Stitched up Heart,TRUE,0,0.34,stitched-up-heart,0,Stitched up Heart,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,18:00:00,0,0,0,34.04,-118.259
concert,6034984,45196,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.264,45069,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.676,0,1,38,38,38,38,CA,90015,The Belasco - Los Angeles,0.6,1050 South Hill Street,US,TRUE,49,Los Angeles,the-belasco-los-angeles,"Los Angeles, CA 90015",30920,1000,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Destroy Rebuild Until God Shows,TRUE,0,0.34,destroy-rebuild-until-god-shows,0,Destroy Rebuild Until God Shows,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,18:00:00,0,0,0,34.04,-118.259
concert,6034984,45196,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.264,45069,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.676,0,1,38,38,38,38,CA,90015,The Belasco - Los Angeles,0.6,1050 South Hill Street,US,TRUE,49,Los Angeles,the-belasco-los-angeles,"Los Angeles, CA 90015",30920,1000,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,D.R.U.G.S.,TRUE,0,0.34,d-r-u-g-s,0,D.R.U.G.S.,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,18:00:00,0,0,0,34.04,-118.259
concert,6034984,45196,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.264,45069,"Escape the Fate with D.R.U.G.S., Point North, Stitched Up Heart and GARZI",0.676,0,1,38,38,38,38,CA,90015,The Belasco - Los Angeles,0.6,1050 South Hill Street,US,TRUE,49,Los Angeles,the-belasco-los-angeles,"Los Angeles, CA 90015",30920,1000,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,GARZI,TRUE,0,0.34,garzi,0,GARZI,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,18:00:00,0,0,0,34.04,-118.259
concert,6133968,45196,Coyote Island,0.143,45157,Coyote Island,0.602,0,4,47,36,65,40,CA,90012,Moroccan Lounge,0.51,901 E 1st St,US,TRUE,52,Los Angeles,moroccan-lounge,"Los Angeles, CA 90012",432202,300,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Coyote Island,TRUE,1,0.21,coyote-island,0,Coyote Island,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:30:00,0,0,0,34.048,-118.234
concert,6025585,45196,Matt Maeson with Steinza,0.216,45064,Matt Maeson with Steinza,0.645,1,1,33,33,33,33,CA,90013,The Regent Theater,0.57,448 South Main Street,US,TRUE,50,Los Angeles,the-regent-theater,"Los Angeles, CA 90013",56365,1100,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Matt Maeson,TRUE,1,0.63,matt-maeson,0,Matt Maeson,24,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19:00:00,0,0,0,34.047,-118.248
concert,6025585,45196,Matt Maeson with Steinza,0.216,45064,Matt Maeson with Steinza,0.645,1,1,33,33,33,33,CA,90013,The Regent Theater,0.57,448 South Main Street,US,TRUE,50,Los Angeles,the-regent-theater,"Los Angeles, CA 90013",56365,1100,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Steinza,TRUE,0,0.36,steinza,0,Steinza,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19:00:00,0,0,0,34.047,-118.248
concert,6128652,45196,Model/Actriz,0.176,45157,Model/Actriz,0.621,0,1,42,42,42,42,CA,90026,Echoplex,0.54,1154 Glendale Boulevard,US,TRUE,78,Los Angeles,echoplex,"Los Angeles, CA 90026",1014,500,"Los Angeles, CA",0,Not a Sport,No Division,Not a Sport,0,not-a-sport,band,Model/Actriz,TRUE,1,0.27,model-actriz,0,Model/Actriz,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19:00:00,0,0,0,34.077,-118.261
